title,runtime,budget,Year,Genre,is_Nominated,Won,Animation,Comedy,Family,Adventure,Fantasy,Drama,Romance,Action,Crime,Thriller,History,Science,Fiction,Mystery,Horror,War,Foreign,Western,Documentary,Music,Biography,Sci-Fi,Film-Noir,Musical,Sport
The Castle,85,786675,1997,Drama Comedy ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Midsummer Night's Dream,116,11000000,1999,Fantasy Drama Comedy Romance ,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After Life,118,11791,1998,Fantasy Drama ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edge of Seventeen,99,1500000,1998,Comedy Drama Romance ,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode I - The Phantom Menace,136,115000000,1999,Adventure Action Science Fiction ,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Superman,143,55000000,1978,Action Adventure Fantasy Science Fiction ,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Superman II,127,54000000,1980,Action Adventure Fantasy Science Fiction ,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Superman III,125,39000000,1983,Comedy Action Adventure Fantasy Science Fiction ,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Superman IV: The Quest for Peace,90,17000000,1987,Action Adventure Science Fiction ,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Frankenstein,71,291000,1931,Drama Horror Science Fiction ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
The Rocky Horror Picture Show,100,1200000,1975,Comedy Horror Music Science Fiction ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
It Came from Hollywood,80,5000000,1982,Comedy Documentary ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The War of the Worlds,85,2000000,1953,Horror Science Fiction Thriller ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Invasion of the Body Snatchers,80,417000,1956,Horror Science Fiction ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Swamp Thing,91,3000000,1982,Horror Science Fiction ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Notting Hill,124,42000000,1999,Romance Comedy Drama ,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Thirteenth Floor,100,16000000,1999,Thriller Science Fiction Mystery ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
The Loss of Sexual Innocence,106,4000000,1999,Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instinct,126,80000000,1999,Drama Mystery Thriller ,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Limbo,126,8000000,1999,Adventure Drama Thriller ,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Powers: The Spy Who Shagged Me,95,33000000,1999,Adventure Comedy Crime Science Fiction ,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Red Violin,131,18000000,1998,Drama Thriller Mystery Music Romance ,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Tarzan,88,150000000,1999,Adventure Animation Drama Family ,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The General's Daughter,116,60000000,1999,Crime Drama Mystery Thriller ,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
An Ideal Husband,97,14000000,1999,Drama Comedy Romance ,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of 1900,170,9000000,1998,Fantasy ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Run Lola Run,81,1530000,1998,Action Drama Thriller ,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Daddy,93,34200000,1999,Comedy Drama ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dinner Game,80,12500000,1998,Comedy ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arachnophobia,103,31000000,1990,Comedy Horror ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"South Park: Bigger, Longer & Uncut",81,21000000,1999,Animation Comedy Music ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wild Wild West,106,170000000,1999,Action Adventure Comedy Science Fiction Western ,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Les Amants du Pont-Neuf,125,28000000,1991,Drama Romance ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Pie,95,11000000,1999,Comedy Romance ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington Road,117,21500000,1999,Drama Thriller Mystery ,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Muppets from Space,87,24000000,1999,Fantasy Comedy Science Fiction Family ,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Blair Witch Project,81,60000,1999,Horror Mystery ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Eyes Wide Shut,159,65000000,1999,Mystery Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lake Placid,82,27000000,1999,Horror Comedy Action Science Fiction Thriller ,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
The Wood,106,6000000,1999,Comedy Drama Romance ,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Velocity of Gary,100,4000000,1999,Drama Romance ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghostbusters,107,30000000,1984,Comedy Fantasy ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghostbusters II,108,37000000,1989,Comedy Fantasy ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drop Dead Gorgeous,98,10000000,1999,Comedy ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Haunting,113,80000000,1999,Horror Thriller Fantasy Mystery ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Inspector Gadget,78,75000000,1999,Action Adventure Comedy Family ,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trick,89,450000,1999,Comedy Romance ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep Blue Sea,105,60000000,1999,Action Science Fiction Thriller ,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mystery Men,121,68000000,1999,Adventure Fantasy Action Comedy Science Fiction ,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Runaway Bride,116,70000000,1999,Comedy Romance ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Killing,85,320000,1956,Drama Action Thriller Crime ,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer's Kiss,67,75000,1955,Crime Drama Thriller ,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spartacus,197,12000000,1960,Action Drama History ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Lyndon,184,11000000,1975,Drama Romance War ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vibes,99,1884000,1988,Romance Action Comedy ,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Golden Child,94,25000000,1986,Action Adventure Comedy ,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Color Purple,154,15000000,1985,Drama ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Native Son,111,2000000,1986,Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mission,126,24500000,1986,Adventure Drama Action History ,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Shop of Horrors,94,25000000,1986,Horror Comedy Music ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
The Little Shop of Horrors,70,30000,1960,Comedy ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radio Days,90,16000000,1987,Comedy Drama ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick,94,13000000,1999,Comedy ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Iron Giant,86,70000000,1999,Adventure Animation Family Fantasy Science Fiction ,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Sixth Sense,107,40000000,1999,Mystery Thriller Drama ,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Thomas Crown Affair,113,48000000,1999,Drama Crime Romance ,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowfinger,97,55000000,1999,Comedy ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brokedown Palace,100,25000000,1999,Drama Thriller ,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit Rock City,95,6500000,1999,Comedy Music ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Never Talk to Strangers,86,6400000,1995,Thriller Romance ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Raven,86,350000,1963,Comedy Fantasy Horror ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Tingler,82,250000,1959,Horror ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Pit and the Pendulum,80,200000,1961,Fantasy Horror Drama ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Damien: Omen II,107,6800000,1978,Action Drama Horror Thriller ,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Airplane!,88,3500000,1980,Comedy ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An American Werewolf in Paris,105,22000000,1997,Horror Comedy ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
National Lampoon's Vacation,98,15000000,1983,Comedy Adventure Romance ,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big,104,18000000,1988,Fantasy Drama Comedy Romance Family ,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tequila Sunrise,115,23000000,1988,Action Adventure Crime Romance Thriller ,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pelican Brief,141,45000000,1993,Drama Mystery Thriller Crime ,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Teaching Mrs. Tingle,96,13000000,1999,Comedy Thriller ,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universal Soldier: The Return,82,45000000,1999,Action Science Fiction ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Universal Soldier,102,23000000,1992,Thriller Action Science Fiction Crime ,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
In Too Deep,97,7000000,1999,Drama Action Thriller Crime ,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicine Man,106,40000000,1992,Adventure ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The 13th Warrior,102,160000000,1999,Adventure Fantasy Action ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Astronaut's Wife,109,75000000,1999,Drama Science Fiction Thriller ,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dudley Do-Right,77,70000000,1999,Comedy Family Romance ,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chill Factor,101,70000000,1999,Action Comedy Thriller ,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Providence,96,7000000,1999,Romance Comedy Drama ,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stigmata,103,29000000,1999,Horror ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stir of Echoes,99,12000000,1999,Horror Mystery Thriller ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A Soldier's Story,101,6000000,1984,Drama Mystery War ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Alice Sweet Alice,98,340000,1976,Horror Mystery Thriller ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
American Beauty,122,15000000,1999,Drama ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stop Making Sense,88,1200000,1984,Documentary Music ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Blue Streak,93,65000000,1999,Action Comedy Crime ,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Love of the Game,137,50000000,1999,Drama Romance ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caligula,156,17500000,1979,Drama History Romance ,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Hard Day's Night,88,560000,1964,Comedy Music ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Buddy Holly Story,113,1200000,1978,Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fright Night,106,9000000,1985,Horror ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deliverance,109,2000000,1972,Drama Adventure Thriller ,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excalibur,140,11000000,1981,Fantasy Adventure ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thumbelina,87,28000000,1994,Animation Drama Family Fantasy ,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy,111,5000000,1975,Drama Music ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Armour of God,88,15000000,1986,Adventure Action Comedy ,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Jeopardy,105,70000000,1999,Crime Drama Mystery Thriller ,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Guinevere,104,2600000,1999,Drama Romance ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drive Me Crazy,91,8000000,1999,Drama Comedy Romance Family ,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mystery, Alaska",119,28000000,1999,Drama Comedy ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Kings,114,75000000,1999,Action Adventure Comedy ,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Happy, Texas",98,1700000,1999,Comedy Crime ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Half,122,15000000,1993,Mystery Horror ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Monkey Shines,113,7000000,1988,Thriller Drama Horror Science Fiction ,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Phantasm,89,300000,1979,Horror Science Fiction ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Psycho II,113,5000000,1983,Horror Mystery Thriller ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Random Hearts,133,64000000,1999,Drama Romance ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boys Don't Cry,118,2000000,1999,Crime Drama ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Limey,89,10000000,1999,Action Crime Drama Mystery Thriller ,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Risky Business,98,6200000,1983,Comedy Romance ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Recall,113,65000000,1990,Action Adventure Science Fiction ,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ferris Bueller's Day Off,103,6000000,1986,Comedy ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Year of Living Dangerously,115,6000000,1982,War Drama Romance ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
High Plains Drifter,105,5500000,1973,Western ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hang 'em High,114,1800000,1968,Western ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Conformist,107,750000,1970,Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reds,195,32000000,1981,Drama History ,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return with Honor,101,1000000,1999,Documentary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sullivan's Travels,90,689665,1941,Adventure Comedy Drama Romance ,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niagara,92,1250000,1953,Crime Drama Thriller ,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Pacific,157,6000000,1958,Music Romance War ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Flashdance,95,4000000,1983,Drama Music Romance ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Dirty Dozen,150,5400000,1967,Action Adventure War ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Help!,92,1500000,1965,Comedy Music ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Goldfinger,110,2500000,1964,Adventure Action Thriller ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From Russia with Love,115,2000000,1963,Action Thriller Adventure ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr. No,110,950000,1962,Adventure Action Thriller ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Blue Lagoon,104,4500000,1980,Romance Adventure Drama ,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Fistful of Dollars,99,200000,1964,Western ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hard Eight,96,3000000,1996,Drama Thriller ,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Alone 2: Lost in New York,120,18000000,1992,Comedy Family Adventure Crime ,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Someone to Watch Over Me,106,17000000,1987,Crime Drama Romance Thriller ,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naturally Native,107,700000,1999,Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fight Club,139,63000000,1999,Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Story of Us,95,50000000,1999,Comedy Drama Romance ,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Straight Story,112,10000000,1999,Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time Bandits,116,5000000,1981,Family Fantasy Science Fiction Adventure Comedy ,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fitzcarraldo,158,7362000,1982,Action Adventure Drama ,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crimes and Misdemeanors,104,19000000,1989,Comedy Drama ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Best Man,120,9000000,1999,Drama Comedy ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bringing Out the Dead,121,32000000,1999,Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three to Tango,98,20000000,1999,Comedy Romance ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoboCop,102,13000000,1987,Action Thriller Science Fiction ,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
RoboCop 2,117,35000000,1990,Action Adventure Crime Science Fiction Thriller ,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Who Framed Roger Rabbit,104,70000000,1988,Fantasy Animation Comedy Crime Family ,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Your Eyes Only,127,28000000,1981,Adventure Action Thriller ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Licence to Kill,133,32000000,1989,Adventure Action Thriller ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live and Let Die,121,7000000,1973,Adventure Action Thriller ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunderball,130,5500000,1965,Adventure Action Thriller ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Music of the Heart,124,27000000,1999,Drama ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being John Malkovich,112,13000000,1999,Fantasy Drama Comedy ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dreaming of Joseph Lees,92,2000000,1999,Romance Drama ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Princess Mononoke,134,26500000,1997,Adventure Fantasy Animation ,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train of Life,103,154790,1998,Drama Comedy War ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Bachelor,101,51000000,1999,Comedy ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bone Collector,118,73000000,1999,Drama Mystery Thriller Crime ,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
