title,budget,Year,is_Nominated,Won,Animation,Comedy,Family,Adventure,Fantasy,Drama,Romance,Action,Crime,Thriller,History,Science,Fiction,Mystery,Horror,War,Foreign,Western,Documentary,Music,Biography,Sci-Fi,Film-Noir,Musical,Sport,month,Runtime,country,Metascore,imdbRating
Old School,24000000,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Feb 2003,88 min,USA,54.0,7.1
Cradle 2 the Grave,25000000,2003,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28 Feb 2003,101 min,USA,36.0,5.8
Lady Jane,8500000,1986,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Feb 1986,136 min,UK,64.0,7.1
The Meteor Man,30,1993,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,06 Aug 1993,100 min,USA,,5.2
Bringing Down the House,20000000,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Mar 2003,105 min,USA,39.0,5.6
Tears of the Sun,70000000,2003,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,07 Mar 2003,121 min,USA,48.0,6.6
Bend It Like Beckham,3500159,2002,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Aug 2003,112 min,"UK, Germany, USA",66.0,6.6
The Hunted,55000000,2003,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Mar 2003,94 min,USA,40.0,6.1
Willard,22000000,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14 Mar 2003,100 min,"Canada, USA",61.0,6.1
Spun,2000000,2002,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Feb 2003,101 min,USA,41.0,6.8
King of Kings,5037000,1961,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 Oct 1961,168 min,USA,,7.0
The Lost Honor of Katharina Blum,1000000,1975,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Oct 1975,106 min,West Germany,,7.4
Two-Lane Blacktop,850000,1971,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28 Oct 1972,102 min,USA,89.0,7.2
Ringu,1200000,1998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31 Jan 1998,96 min,Japan,,7.2
Ringu 2,6000000,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23 Jan 1999,95 min,Japan,,5.9
Sweet Charity,8000000,1969,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 May 1969,149 min,USA,53.0,7.0
Women in Love,1250000,1969,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Mar 1970,131 min,UK,,7.3
Japón,250050,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,04 Apr 2003,122 min,Mexico,76.0,6.9
Boat Trip,20000000,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Mar 2003,94 min,"USA, Germany",18.0,4.9
Dreamcatcher,68000000,2003,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,21 Mar 2003,134 min,"USA, Canada",35.0,5.5
The Bible: In the Beginning...,18000000,1966,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28 Sep 1966,174 min,"Italy, USA",,6.3
The Robe,4100000,1953,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04 Dec 1953,135 min,USA,,6.7
Wind,29000000,1992,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 Sep 1992,126 min,"USA, Japan",57.0,6.5
Basic,50000000,2003,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28 Mar 2003,98 min,"Germany, USA",34.0,6.5
The Core,60000000,2003,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28 Mar 2003,135 min,"USA, Germany, Canada, UK, Italy, France",48.0,5.5
Raising Victor Vargas,800000,2002,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 May 2003,88 min,"France, USA",83.0,7.2
A Man Apart,36000000,2003,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04 Apr 2003,109 min,"USA, Germany",36.0,6.1
Phone Booth,13000000,2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04 Apr 2003,81 min,USA,56.0,7.0
Levity,7500000,2003,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29 Aug 2003,100 min,"USA, France",45.0,6.4
Anger Management,75000000,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 Apr 2003,106 min,USA,52.0,6.3
Ghosts of the Abyss,13000000,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10 Sep 2003,61 min,"USA, France",67.0,6.8
House of 1000 Corpses,7000000,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11 Apr 2003,89 min,USA,31.0,6.1
Bulletproof Monk,52000000,2003,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Apr 2003,104 min,"USA, Canada",40.0,5.5
A Mighty Wind,6000000,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,09 May 2003,91 min,USA,81.0,7.2
Holes,20000000,2003,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Apr 2003,117 min,USA,71.0,7.0
Winged Migration,35866397,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29 Aug 2003,89 min,"France, Germany, Switzerland, Spain, Italy",82.0,7.9
Straw Dogs,2200000,1971,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30 Jan 1972,113 min,"UK, USA",73.0,7.5
The Andromeda Strain,6500000,1971,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12 Mar 1971,131 min,USA,60.0,7.2
The Other Side of Heaven,7000000,2001,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Apr 2002,113 min,USA,38.0,6.4
The Wiz,24000000,1978,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24 Oct 1978,134 min,USA,53.0,5.4
The Marrying Man,26000000,1991,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05 Apr 1991,115 min,USA,,5.8
Scenes from a Mall,3000000,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Feb 1991,89 min,USA,,5.4
Identity,30000000,2003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25 Apr 2003,90 min,USA,64.0,7.3
House of Fools,2500000,2002,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,06 Dec 2002,104 min,"Russia, France",52.0,7.1
People I Know,20000000,2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Nov 2002,100 min,"USA, Germany",53.0,5.5
X2,110000000,2003,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,02 May 2003,134 min,"Canada, USA",68.0,7.4
Blue Car,1000000,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 May 2003,96 min,USA,76.0,6.6
Daddy Day Care,60000000,2003,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 May 2003,92 min,USA,39.0,5.6
High Society,2000000,1956,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 Jul 1956,111 min,USA,,7.0
The Matrix Reloaded,150000000,2003,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15 May 2003,138 min,USA,62.0,7.2
Dracula: Pages from a Virgin's Diary,1596010,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12 Dec 2003,73 min,Canada,84.0,6.8
Down with Love,35000000,2003,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 May 2003,101 min,"USA, Germany",52.0,6.2
Bruce Almighty,80000000,2003,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 May 2003,101 min,USA,46.0,6.8
Finding Nemo,94000000,2003,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 May 2003,100 min,"USA, Australia",90.0,8.1
The Italian Job,60000000,2003,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 May 2003,111 min,"USA, France, Italy, UK, Germany",68.0,7.0
Wrong Turn,12600000,2003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30 May 2003,84 min,"USA, Germany, Canada",32.0,6.1
2 Fast 2 Furious,76000000,2003,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Jun 2003,107 min,"USA, Germany",38.0,5.9
Whale Rider,8000000,2003,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29 Aug 2003,101 min,"New Zealand, Germany",80.0,7.5
The Crazies,275000,1973,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26 Feb 2010,101 min,"USA, United Arab Emirates",56.0,6.5
Dementia 13,30000,1963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17 Jul 1964,75 min,"USA, Ireland",,5.7
Two Evil Eyes,9000000,1990,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25 Oct 1991,120 min,"Italy, USA",61.0,6.1
Oscar,35000000,1991,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 Apr 1991,109 min,USA,,6.5
Barton Fink,9000000,1991,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Aug 1991,116 min,"USA, UK",69.0,7.7
Battle of Britain,12000000,1969,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24 Oct 1969,132 min,UK,,7.0
North to Alaska,3500000,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16 Dec 1960,122 min,USA,,7.0
The Blue Max,5000000,1966,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21 Jun 1966,156 min,UK,,7.1
Chisum,6000000,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29 Jul 1970,111 min,USA,,6.9
Shattered,22000000,1991,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23 Aug 2007,95 min,"UK, Canada, USA",,6.7
Dumb and Dumberer: When Harry Met Lloyd,19000000,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 Jun 2003,85 min,USA,19.0,3.4
From Justin to Kelly,12000000,2003,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 Jun 2003,81 min,USA,14.0,2.1
Hollywood Homicide,75000000,2003,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 Jun 2003,116 min,USA,47.0,5.3
The Heart of Me,7000000,2002,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 May 2003,96 min,"UK, Germany",53.0,6.6
Alex & Emma,30000000,2003,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 Nov 2017,43 min,"Sweden, UK",,6.8
28 Days Later,5000000,2002,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,27 Jun 2003,113 min,"UK, Spain",73.0,7.6
Charlie's Angels: Full Throttle,120000000,2003,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27 Jun 2003,106 min,USA,48.0,4.9
Ali: Fear Eats the Soul,130000,1974,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31 Oct 1974,92 min,West Germany,,8.1
"Bodies, Rest & Motion",2500000,1993,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Apr 1993,95 min,USA,,5.6
You Only Live Once,575,1937,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29 Jan 1937,86 min,USA,,7.4
Flight of the Intruder,35000000,1991,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Jan 1991,115 min,USA,,5.8
Fun with Dick and Jane,3000000,1977,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Dec 2005,90 min,USA,47.0,6.2
Never on Sunday,151000,1960,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Oct 1960,97 min,Greece,,7.3
Nuts,25000000,1987,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 Dec 1987,116 min,USA,,6.6
Scaramouche,3005000,1952,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27 Jun 1952,115 min,USA,,7.5
Hulk,137000000,2003,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20 Jun 2003,138 min,USA,54.0,5.6
Sinbad: Legend of the Seven Seas,60000000,2003,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Jul 2003,86 min,USA,48.0,6.7
Terminator 3: Rise of the Machines,200000000,2003,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,02 Jul 2003,109 min,"USA, Germany, UK",66.0,6.3
Swimming Pool,7800000,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Aug 2003,102 min,"France, UK",70.0,6.7
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,2003,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Jul 2003,143 min,USA,63.0,8.0
The League of Extraordinary Gentlemen,78000000,2003,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11 Jul 2003,110 min,"USA, Germany, Czech Republic, UK",30.0,5.8
Bad Boys II,130000000,2003,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Jul 2003,147 min,USA,38.0,6.6
Johnny English,40000000,2003,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Jul 2003,87 min,"UK, France, USA",51.0,6.2
Loose Cannons,1500000,1990,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12 Mar 2010,110 min,Italy,,7.3
Lara Croft Tomb Raider: The Cradle of Life,95000000,2003,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Jul 2003,117 min,"USA, Germany, Japan, UK, Hong Kong",43.0,5.5
Seabiscuit,87000000,2003,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Jul 2003,140 min,USA,72.0,7.3
Spy Kids 3-D: Game Over,38000000,2003,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25 Jul 2003,84 min,USA,57.0,4.2
Buffalo Soldiers,15000000,2001,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31 Oct 2002,98 min,"UK, Germany",56.0,6.8
"Lucía, Lucía",2750000,2003,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25 Jul 2003,110 min,"Mexico, Spain",51.0,6.0
Mondays in the Sun,4000000,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27 Sep 2002,113 min,"Spain, France, Italy",64.0,7.6
Eve of Destruction,13000000,1991,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18 Jan 1991,99 min,USA,,4.9
"Kiss Me, Stupid",3500000,1964,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Dec 1964,125 min,USA,63.0,7.0
"One, Two, Three",3000000,1961,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Nov 1974,104 min,USA,68.0,7.7
The Private Life of Sherlock Holmes,10000000,1970,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29 Oct 1970,125 min,"UK, USA",,7.1
American Wedding,55000000,2003,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Aug 2003,96 min,"USA, Germany",43.0,6.3
Gigli,54000000,2003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Aug 2003,121 min,USA,18.0,2.5
Freaky Friday,26000000,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Aug 2003,97 min,USA,70.0,6.1
S.W.A.T.,80000000,2003,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08 Aug 2003,117 min,USA,45.0,6.0
Freddy vs. Jason,30000000,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15 Aug 2003,97 min,"Canada, USA",37.0,5.7
Open Range,22000000,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15 Aug 2003,139 min,USA,67.0,7.4
Uptown Girls,20000000,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 Aug 2003,92 min,USA,33.0,6.1
Agent Cody Banks,28000000,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Mar 2003,102 min,"USA, Canada",41.0,5.0
Changing Habits,1200000,1997,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 May 1997,95 min,USA,,5.8
House of Wax,658000,1953,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,06 May 2005,113 min,"Australia, USA",41.0,5.3
Man's Best Friend,6000000,1993,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,19 Nov 1993,87 min,USA,,5.2
Of Unknown Origin,4000000,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24 Nov 1983,88 min,"Canada, USA",51.0,6.1
Valley Girl,350000,1983,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29 Apr 1983,99 min,USA,66.0,6.4
Wait Until Dark,4000000,1967,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19 Jan 1968,108 min,USA,81.0,7.8
Showdown in Little Tokyo,8000000,1991,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Aug 1991,79 min,USA,,6.1
THX 1138,777000,1971,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11 Mar 1971,86 min,USA,75.0,6.7
Valley of the Dolls,5000000,1967,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,09 Feb 1968,123 min,USA,49.0,6.0
The Business of Fancydancing,200000,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14 Jan 2002,103 min,USA,49.0,6.9
The Keep,6000000,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16 Dec 1983,96 min,UK,34.0,5.8
"The Beast from 20,000 Fathoms",210000,1953,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,13 Jun 1953,80 min,USA,,6.7
Tremors,11000000,1990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19 Jan 1990,96 min,USA,65.0,7.1
The Red Shoes,500000,1948,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Sep 1948,135 min,UK,,8.1
The Pink Panther Strikes Again,6000000,1976,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15 Dec 1976,103 min,"UK, USA",60.0,7.2
Commando,10000000,1985,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04 Oct 1985,90 min,USA,51.0,6.7
The Discreet Charm of the Bourgeoisie,800000,1972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Oct 1972,102 min,France,93.0,7.9
Marci X,20000000,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Aug 2003,84 min,"Germany, USA",20.0,2.8
The Medallion,41000000,2003,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Aug 2003,88 min,"Hong Kong, USA",38.0,5.3
My Boss's Daughter,14000000,2003,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Aug 2003,86 min,USA,15.0,4.7
The Battle of Shaker Heights,1000000,2003,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Aug 2003,79 min,USA,33.0,6.0
Jeepers Creepers 2,17000000,2003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29 Aug 2003,104 min,USA,36.0,5.6
Zero Day,20000,2003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Jan 2004,92 min,USA,69.0,7.3
The Order,35000000,2003,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,05 Sep 2003,102 min,"USA, Germany",21.0,5.2
Party Monster,5000000,2003,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 Oct 2003,98 min,"USA, Netherlands",36.0,6.3
Cabin Fever,1500000,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12 Sep 2003,93 min,USA,56.0,5.7
Matchstick Men,62000000,2003,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Sep 2003,116 min,"USA, UK",61.0,7.3
Once Upon a Time in Mexico,29000000,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Sep 2003,102 min,"USA, Mexico",56.0,6.4
Lost in Translation,4000000,2003,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 Oct 2003,102 min,"USA, Japan",89.0,7.7
Daisy Miller,2000000,1974,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24 Jan 1975,91 min,USA,,6.1
Sgt. Pepper's Lonely Hearts Club Band,18000000,1978,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24 Jul 1978,113 min,USA,27.0,4.2
Convoy,12000000,1978,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Jun 1978,110 min,USA,47.0,6.4
Day of the Dead,3500000,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,19 Jul 1985,96 min,USA,60.0,7.2
"Hello, Dolly!",24000000,1969,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16 Dec 1969,146 min,USA,51.0,7.1
Memoirs of an Invisible Man,40000000,1992,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28 Feb 1992,99 min,"USA, France",48.0,6.0
